cutoff,approved,approval_rate,bad_rate,capture_rate,cum_good_exposure,cum_bad_exposure
0.0289,77,0.0128,0.026,0.9985,4647321.0,180543.0
0.0289,78,0.013,0.0256,0.9985,4688372.0,180543.0
0.0289,79,0.0132,0.0253,0.9985,4727477.0,180543.0
0.029,80,0.0133,0.025,0.9985,4889193.0,180543.0
0.0291,81,0.0135,0.0247,0.9985,4981269.0,180543.0
0.0292,82,0.0137,0.0244,0.9985,5035017.0,180543.0
0.0292,83,0.0138,0.0241,0.9985,5080003.0,180543.0
0.0293,84,0.014,0.0238,0.9985,5403088.0,180543.0
0.0293,85,0.0142,0.0235,0.9985,5408194.0,180543.0
0.0293,86,0.0144,0.0233,0.9985,5419279.0,180543.0
0.0293,87,0.0145,0.023,0.9985,5632227.0,180543.0
0.0293,88,0.0147,0.0227,0.9985,5704773.0,180543.0
0.0294,89,0.0149,0.0225,0.9985,5836292.0,180543.0
0.0295,90,0.015,0.0222,0.9985,5848275.0,180543.0
0.0295,91,0.0152,0.022,0.9985,5917218.0,180543.0
0.0296,92,0.0154,0.0217,0.9985,5928572.0,180543.0
0.0296,93,0.0155,0.0215,0.9985,5977773.0,180543.0
0.0297,94,0.0157,0.0213,0.9985,5992660.0,180543.0
0.0297,95,0.0159,0.0211,0.9985,6021772.0,180543.0
0.0298,96,0.016,0.0208,0.9985,6207654.0,180543.0
0.0299,97,0.0162,0.0206,0.9985,6380906.0,180543.0
0.0299,98,0.0164,0.0306,0.9977,6380906.0,215058.0
0.0299,99,0.0165,0.0303,0.9977,6409440.0,215058.0
0.0299,100,0.0167,0.03,0.9977,6501246.0,215058.0
0.0301,101,0.0169,0.0297,0.9977,6515333.0,215058.0
0.0301,102,0.017,0.0294,0.9977,6571530.0,215058.0
0.0301,103,0.0172,0.0291,0.9977,6607218.0,215058.0
0.0301,104,0.0174,0.0288,0.9977,6634556.0,215058.0
0.0302,105,0.0175,0.0286,0.9977,6676637.0,215058.0
0.0302,106,0.0177,0.0283,0.9977,6748720.0,215058.0
0.0302,107,0.0179,0.028,0.9977,6772801.0,215058.0
0.0304,108,0.018,0.0278,0.9977,6811365.0,215058.0
0.0304,109,0.0182,0.0275,0.9977,6839149.0,215058.0
0.0305,110,0.0184,0.0273,0.9977,6861335.0,215058.0
0.0307,111,0.0185,0.027,0.9977,6894735.0,215058.0
0.0307,112,0.0187,0.0268,0.9977,6926424.0,215058.0
0.0308,113,0.0189,0.0265,0.9977,6972242.0,215058.0
0.0308,114,0.019,0.0263,0.9977,7061190.0,215058.0
0.0308,115,0.0192,0.0261,0.9977,7095829.0,215058.0
0.0308,116,0.0194,0.0259,0.9977,7179222.0,215058.0
0.0309,117,0.0195,0.0256,0.9977,7281209.0,215058.0
0.0309,118,0.0197,0.0254,0.9977,7405490.0,215058.0
0.0309,119,0.0199,0.0252,0.9977,7491162.0,215058.0
0.0309,120,0.02,0.025,0.9977,7602571.0,215058.0
0.0311,121,0.0202,0.0248,0.9977,7660527.0,215058.0
0.0312,122,0.0204,0.0246,0.9977,7689754.0,215058.0
0.0312,123,0.0205,0.0244,0.9977,7712435.0,215058.0
0.0312,124,0.0207,0.0242,0.9977,7763568.0,215058.0
0.0313,125,0.0209,0.024,0.9977,7782598.0,215058.0
0.0313,126,0.021,0.0238,0.9977,7829842.0,215058.0
0.0314,127,0.0212,0.0236,0.9977,7842842.0,215058.0
0.0316,128,0.0214,0.0234,0.9977,7864045.0,215058.0
0.0316,129,0.0215,0.0233,0.9977,7907739.0,215058.0
0.0316,130,0.0217,0.0231,0.9977,7935057.0,215058.0
0.0317,131,0.0219,0.0229,0.9977,7976485.0,215058.0
0.0317,132,0.022,0.0227,0.9977,8039758.0,215058.0
0.0318,133,0.0222,0.0226,0.9977,8070449.0,215058.0
0.0318,134,0.0224,0.0224,0.9977,8114182.0,215058.0
0.0318,135,0.0225,0.0222,0.9977,8210996.0,215058.0
0.0319,136,0.0227,0.0221,0.9977,8219586.0,215058.0
0.032,137,0.0229,0.0219,0.9977,8284851.0,215058.0
0.032,138,0.023,0.0217,0.9977,8290470.0,215058.0
0.032,139,0.0232,0.0216,0.9977,8313309.0,215058.0
0.0321,140,0.0234,0.0214,0.9977,8334321.0,215058.0
0.0321,141,0.0235,0.0213,0.9977,8541558.0,215058.0
0.0322,142,0.0237,0.0211,0.9977,8654866.0,215058.0
0.0323,143,0.0239,0.021,0.9977,8678262.0,215058.0
0.0323,144,0.024,0.0208,0.9977,8708797.0,215058.0
0.0324,145,0.0242,0.0207,0.9977,8758346.0,215058.0
0.0324,146,0.0244,0.0205,0.9977,8890860.0,215058.0
0.0325,147,0.0245,0.0204,0.9977,8930524.0,215058.0
0.0325,148,0.0247,0.0203,0.9977,8972430.0,215058.0
0.0325,149,0.0249,0.0201,0.9977,9072456.0,215058.0
0.0326,150,0.025,0.02,0.9977,9086605.0,215058.0
0.0326,151,0.0252,0.0199,0.9977,9116054.0,215058.0
0.0326,152,0.0254,0.0197,0.9977,9272075.0,215058.0
0.0327,153,0.0255,0.0196,0.9977,9422833.0,215058.0
0.0327,154,0.0257,0.0195,0.9977,9479310.0,215058.0
0.0328,155,0.0259,0.0194,0.9977,9585850.0,215058.0
0.0329,156,0.026,0.0192,0.9977,9593279.0,215058.0
0.033,157,0.0262,0.0191,0.9977,9619493.0,215058.0
0.033,158,0.0264,0.019,0.9977,9629633.0,215058.0
0.033,159,0.0265,0.0189,0.9977,9654711.0,215058.0
0.0332,160,0.0267,0.0187,0.9977,9707404.0,215058.0
0.0333,161,0.0269,0.0186,0.9977,9726131.0,215058.0
0.0335,162,0.027,0.0185,0.9977,9817240.0,215058.0
0.0335,163,0.0272,0.0184,0.9977,10162293.0,215058.0
0.0336,164,0.0274,0.0183,0.9977,10173882.0,215058.0
0.0337,165,0.0275,0.0182,0.9977,10190760.0,215058.0
0.0337,166,0.0277,0.0181,0.9977,10410179.0,215058.0
0.0338,167,0.0279,0.018,0.9977,10423944.0,215058.0
0.034,168,0.028,0.0179,0.9977,10440117.0,215058.0
0.034,169,0.0282,0.0178,0.9977,10492710.0,215058.0
0.0341,170,0.0284,0.0176,0.9977,10722042.0,215058.0
0.0342,171,0.0285,0.0175,0.9977,10805457.0,215058.0
0.0342,172,0.0287,0.0174,0.9977,10869835.0,215058.0
0.0343,173,0.0289,0.0173,0.9977,11132448.0,215058.0
0.0344,174,0.029,0.0172,0.9977,11264387.0,215058.0
0.0345,175,0.0292,0.0171,0.9977,11275191.0,215058.0
0.0347,176,0.0294,0.017,0.9977,11285799.0,215058.0
0.0347,177,0.0295,0.0169,0.9977,11315005.0,215058.0
0.035,178,0.0297,0.0169,0.9977,11391220.0,215058.0
0.035,179,0.0299,0.0168,0.9977,11421399.0,215058.0
0.0352,180,0.03,0.0167,0.9977,11438796.0,215058.0
0.0352,181,0.0302,0.0221,0.997,11438796.0,448471.0
0.0353,182,0.0304,0.022,0.997,11447918.0,448471.0
0.0354,183,0.0305,0.0219,0.997,11584927.0,448471.0
0.0355,184,0.0307,0.0217,0.997,11601485.0,448471.0
0.0355,185,0.0309,0.0216,0.997,11621937.0,448471.0
0.0356,186,0.031,0.0215,0.997,11636987.0,448471.0
0.0356,187,0.0312,0.0214,0.997,11714782.0,448471.0
0.0357,188,0.0314,0.0213,0.997,11751152.0,448471.0
0.0357,189,0.0315,0.0212,0.997,11932364.0,448471.0
0.0357,190,0.0317,0.0211,0.997,11982419.0,448471.0
0.0358,191,0.0319,0.0209,0.997,12000755.0,448471.0
0.0358,192,0.032,0.0208,0.997,12029310.0,448471.0
0.0359,193,0.0322,0.0207,0.997,12091514.0,448471.0
0.0359,194,0.0324,0.0206,0.997,12149221.0,448471.0
0.036,195,0.0325,0.0256,0.9962,12149221.0,470580.0
0.0363,196,0.0327,0.0255,0.9962,12170616.0,470580.0
0.0363,197,0.0329,0.0254,0.9962,12360076.0,470580.0
0.0364,198,0.033,0.0253,0.9962,12363657.0,470580.0
0.0364,199,0.0332,0.0251,0.9962,12380004.0,470580.0
0.0365,200,0.0334,0.025,0.9962,12391810.0,470580.0
0.0366,201,0.0335,0.0249,0.9962,12402870.0,470580.0
0.0367,202,0.0337,0.0248,0.9962,12407870.0,470580.0
0.0369,203,0.0339,0.0246,0.9962,12522157.0,470580.0
0.037,204,0.034,0.0245,0.9962,12622088.0,470580.0
0.0371,205,0.0342,0.0244,0.9962,12654370.0,470580.0
0.0371,206,0.0344,0.0243,0.9962,12661992.0,470580.0
0.0371,207,0.0345,0.0242,0.9962,12843216.0,470580.0
0.0373,208,0.0347,0.024,0.9962,12913459.0,470580.0
0.0373,209,0.0349,0.0239,0.9962,12936511.0,470580.0
0.0374,210,0.035,0.0238,0.9962,12946157.0,470580.0
0.0374,211,0.0352,0.0237,0.9962,13016466.0,470580.0
0.0374,212,0.0354,0.0283,0.9955,13016466.0,482553.0
0.0375,213,0.0355,0.0282,0.9955,13041996.0,482553.0
0.0376,214,0.0357,0.028,0.9955,13067339.0,482553.0
0.0376,215,0.0359,0.0326,0.9947,13067339.0,491475.0
0.0376,216,0.036,0.0324,0.9947,13102552.0,491475.0
0.0376,217,0.0362,0.0323,0.9947,13161918.0,491475.0
0.0376,218,0.0364,0.0321,0.9947,13163580.0,491475.0
0.0376,219,0.0365,0.032,0.9947,13233799.0,491475.0
0.0377,220,0.0367,0.0318,0.9947,13389292.0,491475.0
0.0378,221,0.0369,0.0362,0.994,13389292.0,527581.0
0.0379,222,0.037,0.036,0.994,13396481.0,527581.0
0.0379,223,0.0372,0.0359,0.994,13431901.0,527581.0
0.0379,224,0.0374,0.0357,0.994,13453471.0,527581.0
0.038,225,0.0375,0.0356,0.994,13461998.0,527581.0
0.038,226,0.0377,0.0354,0.994,13562331.0,527581.0
0.038,227,0.0379,0.0352,0.994,13636284.0,527581.0
0.0381,228,0.038,0.0351,0.994,13653358.0,527581.0
0.0381,229,0.0382,0.0349,0.994,13861711.0,527581.0
0.0381,230,0.0384,0.0391,0.9932,13861711.0,555276.0
0.0382,231,0.0385,0.039,0.9932,14108991.0,555276.0
0.0382,232,0.0387,0.0388,0.9932,14256291.0,555276.0
0.0384,233,0.0389,0.0386,0.9932,14272441.0,555276.0
0.0385,234,0.039,0.0385,0.9932,14322817.0,555276.0
0.0385,235,0.0392,0.0383,0.9932,14697593.0,555276.0
0.0386,236,0.0394,0.0381,0.9932,14712813.0,555276.0
0.0387,237,0.0395,0.038,0.9932,14857189.0,555276.0
0.0387,238,0.0397,0.0378,0.9932,14857966.0,555276.0
0.0387,239,0.0399,0.0377,0.9932,14867130.0,555276.0
0.0388,240,0.04,0.0375,0.9932,14925206.0,555276.0
0.0389,241,0.0402,0.0373,0.9932,15384069.0,555276.0
0.0389,242,0.0404,0.0372,0.9932,15412667.0,555276.0
0.0389,243,0.0405,0.037,0.9932,15415230.0,555276.0
0.0389,244,0.0407,0.0369,0.9932,15464838.0,555276.0
0.039,245,0.0409,0.0367,0.9932,15511596.0,555276.0
0.0391,246,0.041,0.0366,0.9932,15522525.0,555276.0
0.0392,247,0.0412,0.0364,0.9932,15661359.0,555276.0
0.0392,248,0.0414,0.0363,0.9932,15715767.0,555276.0
0.0393,249,0.0415,0.0361,0.9932,15722987.0,555276.0
0.0393,250,0.0417,0.036,0.9932,15731180.0,555276.0
0.0395,251,0.0419,0.0359,0.9932,15829916.0,555276.0
0.0395,252,0.042,0.0357,0.9932,16028870.0,555276.0
0.0396,253,0.0422,0.0356,0.9932,16128934.0,555276.0
0.0396,254,0.0424,0.0354,0.9932,16142265.0,555276.0
0.0396,255,0.0425,0.0353,0.9932,16146954.0,555276.0
0.0397,256,0.0427,0.0352,0.9932,16153300.0,555276.0
0.0397,257,0.0429,0.035,0.9932,16216154.0,555276.0
0.0399,258,0.0431,0.0349,0.9932,16271912.0,555276.0
0.04,259,0.0432,0.0347,0.9932,16412721.0,555276.0
0.04,260,0.0434,0.0346,0.9932,16447838.0,555276.0
0.04,261,0.0436,0.0345,0.9932,16507211.0,555276.0
0.04,262,0.0437,0.0344,0.9932,16661597.0,555276.0
0.0401,263,0.0439,0.0342,0.9932,16668354.0,555276.0
0.0401,264,0.0441,0.0341,0.9932,16785215.0,555276.0
0.0402,265,0.0442,0.034,0.9932,17114785.0,555276.0
0.0402,266,0.0444,0.0338,0.9932,17202098.0,555276.0
0.0402,267,0.0446,0.0337,0.9932,17374870.0,555276.0
0.0402,268,0.0447,0.0336,0.9932,17389350.0,555276.0
0.0403,269,0.0449,0.0335,0.9932,17409010.0,555276.0
0.0403,270,0.0451,0.0333,0.9932,17431998.0,555276.0
0.0404,271,0.0452,0.0332,0.9932,17598915.0,555276.0
0.0404,272,0.0454,0.0331,0.9932,17611078.0,555276.0
0.0404,273,0.0456,0.033,0.9932,17614120.0,555276.0
0.0404,274,0.0457,0.0328,0.9932,17629340.0,555276.0
0.0406,275,0.0459,0.0327,0.9932,17633166.0,555276.0
0.0407,276,0.0461,0.0326,0.9932,17646031.0,555276.0
0.0407,277,0.0462,0.0325,0.9932,17656031.0,555276.0
0.0407,278,0.0464,0.0324,0.9932,17666031.0,555276.0
0.0407,279,0.0466,0.0323,0.9932,17686730.0,555276.0
0.0407,280,0.0467,0.0321,0.9932,17700070.0,555276.0
0.0407,281,0.0469,0.032,0.9932,17712909.0,555276.0
0.0409,282,0.0471,0.0319,0.9932,17725969.0,555276.0
0.0409,283,0.0472,0.0318,0.9932,17784050.0,555276.0
0.041,284,0.0474,0.0317,0.9932,17833048.0,555276.0
0.041,285,0.0476,0.0316,0.9932,17837031.0,555276.0
0.041,286,0.0477,0.0315,0.9932,17868330.0,555276.0
0.0412,287,0.0479,0.0314,0.9932,17882968.0,555276.0
0.0412,288,0.0481,0.0312,0.9932,18029151.0,555276.0
0.0412,289,0.0482,0.0311,0.9932,18113823.0,555276.0
0.0412,290,0.0484,0.031,0.9932,18227352.0,555276.0
0.0412,291,0.0486,0.0309,0.9932,18302307.0,555276.0
0.0412,292,0.0487,0.0308,0.9932,18319639.0,555276.0
0.0413,293,0.0489,0.0307,0.9932,18402470.0,555276.0
0.0413,294,0.0491,0.0306,0.9932,18519184.0,555276.0
0.0413,295,0.0492,0.0339,0.9925,18519184.0,585901.0
0.0413,296,0.0494,0.0338,0.9925,18614903.0,585901.0
0.0413,297,0.0496,0.0337,0.9925,18625163.0,585901.0
0.0414,298,0.0497,0.0336,0.9925,18635999.0,585901.0
0.0415,299,0.0499,0.0334,0.9925,18773121.0,585901.0
0.0415,300,0.0501,0.0333,0.9925,18952668.0,585901.0
0.0415,301,0.0502,0.0332,0.9925,19015619.0,585901.0
0.0416,302,0.0504,0.0331,0.9925,19027384.0,585901.0
0.0416,303,0.0506,0.033,0.9925,19035270.0,585901.0
0.0416,304,0.0507,0.0329,0.9925,19134244.0,585901.0
0.0417,305,0.0509,0.0328,0.9925,19211154.0,585901.0
0.0417,306,0.0511,0.0327,0.9925,19282303.0,585901.0
0.0417,307,0.0512,0.0326,0.9925,19315990.0,585901.0
0.0417,308,0.0514,0.0325,0.9925,19376809.0,585901.0
0.0418,309,0.0516,0.0324,0.9925,19387224.0,585901.0
0.0418,310,0.0517,0.0323,0.9925,19467444.0,585901.0
0.0418,311,0.0519,0.0322,0.9925,19488152.0,585901.0
0.0419,312,0.0521,0.0321,0.9925,19511386.0,585901.0
0.0419,313,0.0522,0.0319,0.9925,19577344.0,585901.0
0.042,314,0.0524,0.0318,0.9925,19603809.0,585901.0
0.042,315,0.0526,0.0317,0.9925,19616954.0,585901.0
0.042,316,0.0527,0.0316,0.9925,19625480.0,585901.0
0.0421,317,0.0529,0.0315,0.9925,19676215.0,585901.0
0.0421,318,0.0531,0.0314,0.9925,19823266.0,585901.0
0.0423,319,0.0532,0.0313,0.9925,19989303.0,585901.0
0.0423,320,0.0534,0.0312,0.9925,20038175.0,585901.0
0.0423,321,0.0536,0.0312,0.9925,20048365.0,585901.0
0.0423,322,0.0537,0.0311,0.9925,20109454.0,585901.0
0.0423,323,0.0539,0.031,0.9925,20206364.0,585901.0
0.0424,324,0.0541,0.0309,0.9925,20210981.0,585901.0
0.0424,325,0.0542,0.0308,0.9925,20269262.0,585901.0
0.0425,326,0.0544,0.0307,0.9925,20540377.0,585901.0
0.0425,327,0.0546,0.0306,0.9925,20630286.0,585901.0
0.0426,328,0.0547,0.0305,0.9925,20647646.0,585901.0
0.0426,329,0.0549,0.0304,0.9925,20716098.0,585901.0
0.0426,330,0.0551,0.0303,0.9925,20735205.0,585901.0
0.0426,331,0.0552,0.0332,0.9917,20735205.0,756713.0
0.0426,332,0.0554,0.0331,0.9917,20803237.0,756713.0
0.0426,333,0.0556,0.033,0.9917,20817263.0,756713.0
0.0426,334,0.0557,0.0329,0.9917,20842447.0,756713.0
0.0427,335,0.0559,0.0328,0.9917,20855143.0,756713.0
0.0427,336,0.0561,0.0327,0.9917,20861661.0,756713.0
0.0427,337,0.0562,0.0326,0.9917,20957830.0,756713.0
0.0428,338,0.0564,0.0325,0.9917,20968856.0,756713.0
0.0428,339,0.0566,0.0324,0.9917,21029510.0,756713.0
0.0429,340,0.0567,0.0324,0.9917,21132312.0,756713.0
0.043,341,0.0569,0.0323,0.9917,21196374.0,756713.0
0.043,342,0.0571,0.0322,0.9917,21279888.0,756713.0
0.0431,343,0.0572,0.0321,0.9917,21317230.0,756713.0
0.0431,344,0.0574,0.032,0.9917,21418661.0,756713.0
0.0431,345,0.0576,0.0319,0.9917,21492896.0,756713.0
0.0431,346,0.0577,0.0318,0.9917,21602642.0,756713.0
0.0431,347,0.0579,0.0317,0.9917,21619138.0,756713.0
0.0431,348,0.0581,0.0316,0.9917,21690025.0,756713.0
0.0432,349,0.0582,0.0315,0.9917,21802814.0,756713.0
0.0433,350,0.0584,0.0314,0.9917,21826241.0,756713.0
0.0434,351,0.0586,0.0313,0.9917,21863311.0,756713.0
0.0434,352,0.0587,0.0312,0.9917,21977183.0,756713.0
0.0435,353,0.0589,0.0312,0.9917,22032097.0,756713.0
0.0436,354,0.0591,0.0311,0.9917,22106515.0,756713.0
0.0436,355,0.0592,0.031,0.9917,22133072.0,756713.0
0.0437,356,0.0594,0.0309,0.9917,22150067.0,756713.0
0.0437,357,0.0596,0.0308,0.9917,22225189.0,756713.0
0.0438,358,0.0597,0.0307,0.9917,22233384.0,756713.0
0.0438,359,0.0599,0.0306,0.9917,22355807.0,756713.0
0.0438,360,0.0601,0.0306,0.9917,22423143.0,756713.0
0.0439,361,0.0602,0.0305,0.9917,22431057.0,756713.0
0.0439,362,0.0604,0.0304,0.9917,22442551.0,756713.0
0.0439,363,0.0606,0.0303,0.9917,22588681.0,756713.0
0.0439,364,0.0607,0.0302,0.9917,22830849.0,756713.0
0.044,365,0.0609,0.0301,0.9917,22832240.0,756713.0
0.044,366,0.0611,0.0301,0.9917,22858398.0,756713.0
0.0441,367,0.0612,0.03,0.9917,22889488.0,756713.0
0.0442,368,0.0614,0.0299,0.9917,22920348.0,756713.0
0.0442,369,0.0616,0.0298,0.9917,22978670.0,756713.0
0.0444,370,0.0617,0.0297,0.9917,22988742.0,756713.0
0.0444,371,0.0619,0.0296,0.9917,23223699.0,756713.0
0.0445,372,0.0621,0.0296,0.9917,23231666.0,756713.0
0.0446,373,0.0622,0.0295,0.9917,23319270.0,756713.0
0.0446,374,0.0624,0.0294,0.9917,23343704.0,756713.0
0.0446,375,0.0626,0.0293,0.9917,23491144.0,756713.0
0.0446,376,0.0627,0.0293,0.9917,23507151.0,756713.0
0.0447,377,0.0629,0.0292,0.9917,23683445.0,756713.0
0.0447,378,0.0631,0.0291,0.9917,23803978.0,756713.0
0.0448,379,0.0632,0.029,0.9917,23863706.0,756713.0
0.0448,380,0.0634,0.0289,0.9917,23866598.0,756713.0
0.0448,381,0.0636,0.0289,0.9917,23875092.0,756713.0
0.0448,382,0.0637,0.0288,0.9917,23986387.0,756713.0
0.0449,383,0.0639,0.0287,0.9917,23998033.0,756713.0
0.0449,384,0.0641,0.0286,0.9917,24048728.0,756713.0
0.0449,385,0.0642,0.0286,0.9917,24071944.0,756713.0
0.0449,386,0.0644,0.0285,0.9917,24170653.0,756713.0
0.045,387,0.0646,0.0284,0.9917,24170653.0,756713.0
0.0451,388,0.0647,0.0284,0.9917,24190171.0,756713.0
0.0452,389,0.0649,0.0283,0.9917,24205492.0,756713.0
0.0452,390,0.0651,0.0282,0.9917,24239250.0,756713.0
0.0452,391,0.0652,0.0281,0.9917,24272359.0,756713.0
0.0453,392,0.0654,0.0281,0.9917,24303594.0,756713.0
0.0453,393,0.0656,0.028,0.9917,24319960.0,756713.0
0.0454,394,0.0657,0.0279,0.9917,24426560.0,756713.0
0.0454,395,0.0659,0.0278,0.9917,24549385.0,756713.0
0.0454,396,0.0661,0.0278,0.9917,24561566.0,756713.0
0.0454,397,0.0662,0.0277,0.9917,24642494.0,756713.0
0.0454,398,0.0664,0.0276,0.9917,24848955.0,756713.0
0.0454,399,0.0666,0.0276,0.9917,24953412.0,756713.0
0.0454,400,0.0667,0.0275,0.9917,24988004.0,756713.0
0.0454,401,0.0669,0.0274,0.9917,25071760.0,756713.0
0.0454,402,0.0671,0.0274,0.9917,25081418.0,756713.0
0.0455,403,0.0672,0.0273,0.9917,25182158.0,756713.0
0.0455,404,0.0674,0.0272,0.9917,25185738.0,756713.0
0.0456,405,0.0676,0.0296,0.991,25185738.0,769555.0
0.0456,406,0.0677,0.0296,0.991,25345371.0,769555.0
0.0456,407,0.0679,0.0295,0.991,25354208.0,769555.0
0.0458,408,0.0681,0.0319,0.9902,25354208.0,799417.0
0.0458,409,0.0682,0.0318,0.9902,25368462.0,799417.0
0.0458,410,0.0684,0.0317,0.9902,25622229.0,799417.0
0.0458,411,0.0686,0.0316,0.9902,25799749.0,799417.0
0.0458,412,0.0687,0.0316,0.9902,25898476.0,799417.0
0.0459,413,0.0689,0.0315,0.9902,26001635.0,799417.0
0.0459,414,0.0691,0.0314,0.9902,26121263.0,799417.0
0.0459,415,0.0692,0.0313,0.9902,26203954.0,799417.0
0.0459,416,0.0694,0.0312,0.9902,26228477.0,799417.0
0.0459,417,0.0696,0.0312,0.9902,26281786.0,799417.0
0.0459,418,0.0697,0.0311,0.9902,26318816.0,799417.0
0.046,419,0.0699,0.031,0.9902,26327329.0,799417.0
0.046,420,0.0701,0.031,0.9902,26393966.0,799417.0
0.0461,421,0.0702,0.0309,0.9902,26397621.0,799417.0
0.0461,422,0.0704,0.0308,0.9902,26500730.0,799417.0
0.0461,423,0.0706,0.0307,0.9902,26586135.0,799417.0
0.0462,424,0.0707,0.0307,0.9902,26644854.0,799417.0
0.0462,425,0.0709,0.0306,0.9902,26691802.0,799417.0
0.0462,426,0.0711,0.0305,0.9902,26781143.0,799417.0
