p,y,exposure,pay_1,limit_bal,util_1,decile,risk_band,predicted_loss
0.028679,0,52079,0,260000,0.2003,1,0-5%,1493.573641
0.028776,0,81740,0,360000,0.2271,1,0-5%,2352.15024
0.028856,0,41051,-1,300000,0.1368,1,0-5%,1184.567656
0.02887,0,39105,0,260000,0.1504,1,0-5%,1128.96135
0.028929,0,161716,0,500000,0.3234,1,0-5%,4678.282164
0.029048,0,92076,0,240000,0.3836,1,0-5%,2674.6236480000002
0.029146,0,53748,-1,210000,0.2559,1,0-5%,1566.539208
0.029166,0,44986,0,380000,0.1184,1,0-5%,1312.061676
0.029203,0,323085,0,570000,0.5668,1,0-5%,9435.051255
0.029274,0,5106,-2,260000,0.0196,1,0-5%,149.47304400000002
0.029274,0,11085,-1,130000,0.0853,1,0-5%,324.50229
0.029284,0,212948,0,470000,0.4531,1,0-5%,6235.969232
0.029313,0,72546,0,220000,0.3298,1,0-5%,2126.5408979999997
0.029332,0,131519,0,500000,0.263,1,0-5%,3857.7153080000003
0.029402,0,11983,-1,310000,0.0387,1,0-5%,352.324166
0.029486,0,68943,0,380000,0.1814,1,0-5%,2032.853298
0.029489,0,11354,-2,500000,0.0227,1,0-5%,334.818106
0.029598,0,49201,0,500000,0.0984,1,0-5%,1456.251198
0.029607,0,14887,0,230000,0.0647,1,0-5%,440.759409
0.029699,0,29112,-2,480000,0.0606,1,0-5%,864.5972879999999
0.029726,0,185882,0,420000,0.4426,1,0-5%,5525.528332
0.029754,0,173252,0,380000,0.4559,1,0-5%,5154.940008
0.029858,1,34515,0,300000,0.115,1,0-5%,1030.54887
0.029896,0,28534,0,230000,0.1241,1,0-5%,853.052464
0.029918,0,91806,-1,380000,0.2416,1,0-5%,2746.651908
0.029941,0,14087,-1,340000,0.0414,1,0-5%,421.778867
0.030064,0,56197,0,500000,0.1124,1,0-5%,1689.506608
0.030086,0,35688,-2,150000,0.2379,1,0-5%,1073.709168
0.030126,0,27338,0,150000,0.1823,1,0-5%,823.584588
0.030128,0,42081,0,500000,0.0842,1,0-5%,1267.816368
0.030181,0,72083,0,470000,0.1534,1,0-5%,2175.537023
0.030188,0,24081,-1,360000,0.0669,1,0-5%,726.957228
0.03023,0,38564,0,200000,0.1928,1,0-5%,1165.78972
0.030389,0,27784,0,200000,0.1389,1,0-5%,844.327976
0.030406,0,22186,-1,420000,0.0528,1,0-5%,674.5875159999999
0.030536,0,33400,0,230000,0.1452,1,0-5%,1019.9024000000001
0.030679,0,31689,-1,180000,0.1761,1,0-5%,972.1868310000001
0.03071,0,45818,0,390000,0.1175,1,0-5%,1407.07078
0.030773,0,88948,0,420000,0.2118,1,0-5%,2737.1968039999997
0.030816,0,34639,0,500000,0.0693,1,0-5%,1067.435424
0.030839,0,83393,-1,350000,0.2383,1,0-5%,2571.756727
0.030849,0,101987,0,420000,0.2428,1,0-5%,3146.1969630000003
0.030895,0,124281,0,220000,0.5649,1,0-5%,3839.661495
0.030908,0,85672,-1,210000,0.408,1,0-5%,2647.9501760000003
0.030914,0,111409,0,430000,0.2591,1,0-5%,3444.097826
0.030926,0,57956,-1,350000,0.1656,1,0-5%,1792.347256
0.031104,0,29227,-1,320000,0.0913,1,0-5%,909.076608
0.031152,0,22681,0,290000,0.0782,1,0-5%,706.558512
0.031171,0,51133,0,260000,0.1967,1,0-5%,1593.866743
0.031223,0,19030,-2,220000,0.0865,1,0-5%,594.17369
0.031318,0,47244,-2,200000,0.2362,1,0-5%,1479.5875919999999
0.03133,0,13000,-2,500000,0.026,1,0-5%,407.28999999999996
0.031389,0,21203,-1,460000,0.0461,1,0-5%,665.540967
0.031552,0,43694,0,250000,0.1748,1,0-5%,1378.6330879999998
0.031603,0,27318,-1,500000,0.0546,1,0-5%,863.330754
0.031612,0,41428,0,430000,0.0963,1,0-5%,1309.621936
0.031699,0,63273,-1,260000,0.2434,1,0-5%,2005.690827
0.031736,0,30691,0,310000,0.099,1,0-5%,974.009576
0.031757,0,43733,0,340000,0.1286,1,0-5%,1388.828881
0.031799,0,96814,0,160000,0.6051,1,0-5%,3078.588386
0.031834,0,8590,-1,240000,0.0358,1,0-5%,273.45406
0.031935,0,65265,-1,210000,0.3108,1,0-5%,2084.237775
0.03198,0,5619,-2,480000,0.0117,1,0-5%,179.69562000000002
0.032,0,22839,-2,250000,0.0914,1,0-5%,730.8480000000001
0.032012,0,21012,-1,400000,0.0525,1,0-5%,672.636144
0.032054,0,207237,0,500000,0.4145,1,0-5%,6642.7747979999995
0.032099,0,113308,0,300000,0.3777,1,0-5%,3637.0734920000004
0.032196,0,23396,-1,230000,0.1017,1,0-5%,753.2576160000001
0.032293,0,30535,-2,450000,0.0679,1,0-5%,986.0667550000001
0.032298,0,49549,0,330000,0.1501,1,0-5%,1600.333602
0.032357,0,132514,0,330000,0.4016,1,0-5%,4287.7554979999995
0.032384,0,39664,0,280000,0.1417,1,0-5%,1284.478976
0.03246,0,41906,-1,200000,0.2095,1,0-5%,1360.2687600000002
0.032522,0,100026,0,460000,0.2174,1,0-5%,3253.0455720000004
0.032537,0,14149,-1,150000,0.0943,1,0-5%,460.36601300000007
0.032575,0,29449,-1,100000,0.2945,1,0-5%,959.301175
0.032575,0,156021,0,490000,0.3184,1,0-5%,5082.384075
0.032648,0,150758,-1,500000,0.3015,1,0-5%,4921.947184000001
0.032664,0,56477,0,220000,0.2567,1,0-5%,1844.7647279999999
0.032733,0,106540,0,310000,0.3437,1,0-5%,3487.37382
0.032797,0,7429,-1,200000,0.0371,1,0-5%,243.648913
0.032869,0,26214,0,390000,0.0672,1,0-5%,861.627966
0.032957,0,10140,-1,200000,0.0507,1,0-5%,334.18398
0.032982,0,25078,-1,360000,0.0697,1,0-5%,827.1225959999999
0.033023,0,52693,0,110000,0.479,1,0-5%,1740.080939
0.0332,0,18727,-2,170000,0.1102,1,0-5%,621.7364
0.03328,0,91109,0,170000,0.5359,1,0-5%,3032.1075199999996
0.03348,0,345053,0,430000,0.8024,1,0-5%,11552.374440000001
0.033484,0,11589,-1,150000,0.0773,1,0-5%,388.04607599999997
0.033628,0,16878,0,150000,0.1125,1,0-5%,567.5733839999999
0.033722,0,219419,0,240000,0.9142,1,0-5%,7399.247518
0.033732,0,13765,-2,200000,0.0688,1,0-5%,464.32097999999996
0.033781,0,16173,-2,350000,0.0462,1,0-5%,546.340113
0.033955,0,52593,0,220000,0.2391,1,0-5%,1785.7953149999998
0.034048,0,229332,0,500000,0.4587,1,0-5%,7808.295936
0.034058,0,83415,0,350000,0.2383,1,0-5%,2840.94807
0.034216,0,64378,0,150000,0.4292,1,0-5%,2202.7576480000002
0.034235,0,262613,0,320000,0.8207,1,0-5%,8990.556055000001
0.034331,0,131939,0,420000,0.3141,1,0-5%,4529.597809
0.034406,0,10804,-2,220000,0.0491,1,0-5%,371.722424
0.034454,0,10608,-2,290000,0.0366,1,0-5%,365.488032
0.034663,0,29206,-1,180000,0.1623,1,0-5%,1012.367578
0.034685,0,76215,0,150000,0.5081,1,0-5%,2643.517275
0.034986,0,30179,0,400000,0.0754,1,0-5%,1055.842494
0.035045,0,17397,-1,290000,0.06,1,0-5%,609.677865
0.03521,1,233413,0,420000,0.5557,1,0-5%,8218.47173
0.03521,0,9122,-1,100000,0.0912,1,0-5%,321.18562
0.035288,0,137009,0,210000,0.6524,1,0-5%,4834.773592
0.035381,0,16558,-1,500000,0.0331,1,0-5%,585.838598
0.035471,0,20452,-2,340000,0.0602,1,0-5%,725.452892
0.035489,0,15050,0,500000,0.0301,1,0-5%,534.10945
0.035575,0,77795,0,170000,0.4576,1,0-5%,2767.5571250000003
0.035626,0,36370,0,160000,0.2273,1,0-5%,1295.71762
0.035662,0,181212,-1,350000,0.5177,1,0-5%,6462.382344
0.035703,0,50055,-2,180000,0.2781,1,0-5%,1787.1136649999999
0.035711,0,18336,0,240000,0.0764,1,0-5%,654.796896
0.035799,0,28555,0,500000,0.0571,1,0-5%,1022.2404449999999
0.035822,0,62204,0,140000,0.4443,1,0-5%,2228.271688
0.035907,0,57707,0,420000,0.1374,1,0-5%,2072.085249
0.035931,1,22109,-2,150000,0.1474,1,0-5%,794.398479
0.035981,0,21395,0,130000,0.1646,1,0-5%,769.813495
0.036267,0,189460,0,490000,0.3867,1,0-5%,6871.14582
0.036297,0,3581,-1,420000,0.0085,1,0-5%,129.979557
0.036404,0,16347,0,500000,0.0327,1,0-5%,595.096188
0.036417,0,11806,-1,340000,0.0347,1,0-5%,429.939102
0.036509,0,11060,-1,500000,0.0221,1,0-5%,403.78954
0.036645,0,5000,-1,80000,0.0625,1,0-5%,183.225
0.036681,0,114287,0,360000,0.3175,1,0-5%,4192.1614469999995
0.036934,0,99931,0,470000,0.2126,1,0-5%,3690.8515540000003
0.036994,0,32282,0,500000,0.0646,1,0-5%,1194.240308
0.037077,0,7622,-2,400000,0.0191,1,0-5%,282.600894
0.037103,0,181224,0,470000,0.3856,1,0-5%,6723.9540719999995
0.037129,0,70243,0,160000,0.439,1,0-5%,2608.0523470000003
0.03729,0,23052,-2,400000,0.0576,1,0-5%,859.60908
0.037329,0,9646,-1,320000,0.0301,1,0-5%,360.075534
0.037393,0,70309,0,730000,0.0963,1,0-5%,2629.064437
0.037398,1,11973,-1,300000,0.0399,1,0-5%,447.766254
0.037425,0,25530,0,290000,0.088,1,0-5%,955.46025
0.037479,0,25343,0,270000,0.0939,1,0-5%,949.830297
0.037575,1,8922,-1,120000,0.0744,1,0-5%,335.24415
0.037598,0,35213,-1,150000,0.2348,1,0-5%,1323.938374
0.037617,0,59366,-2,80000,0.7421,1,0-5%,2233.170822
0.037626,0,1662,-2,210000,0.0079,1,0-5%,62.534411999999996
0.037626,0,70219,0,280000,0.2508,1,0-5%,2642.060094
0.03764,0,155493,0,300000,0.5183,1,0-5%,5852.75652
0.037675,1,36106,0,220000,0.1641,1,0-5%,1360.29355
0.037847,0,7189,0,410000,0.0175,1,0-5%,272.082083
0.037871,0,35420,0,350000,0.1012,1,0-5%,1341.39082
0.037891,0,21570,-1,160000,0.1348,1,0-5%,817.3088700000001
0.037896,0,8527,-1,280000,0.0305,1,0-5%,323.139192
0.037992,0,100333,0,420000,0.2389,1,0-5%,3811.8513359999997
0.038,0,73953,0,270000,0.2739,1,0-5%,2810.214
0.038045,0,17074,0,270000,0.0632,1,0-5%,649.58033
0.038075,0,208353,0,490000,0.4252,1,0-5%,7933.040475
0.038091,1,27695,-1,80000,0.3462,1,0-5%,1054.930245
0.038099,0,247280,0,290000,0.8527,1,0-5%,9421.12072
0.038196,0,147300,0,230000,0.6404,1,0-5%,5626.2708
0.038196,0,16150,0,260000,0.0621,1,0-5%,616.8654
0.038387,0,50376,-1,350000,0.1439,1,0-5%,1933.783512
0.038476,0,374776,-1,500000,0.7496,1,0-5%,14419.881376000001
0.038539,0,15220,0,170000,0.0895,1,0-5%,586.56358
0.038587,0,144376,0,270000,0.5347,1,0-5%,5571.036712
0.03872,0,777,1,200000,0.0039,1,0-5%,30.08544
0.038736,0,9164,-2,150000,0.0611,1,0-5%,354.976704
0.038745,0,58076,0,500000,0.1162,1,0-5%,2250.1546200000003
0.038757,0,458863,1,500000,0.9177,1,0-5%,17784.153291
0.038854,0,28598,0,310000,0.0923,1,0-5%,1111.146692
0.038888,0,2563,-2,210000,0.0122,1,0-5%,99.669944
0.038892,0,49608,0,80000,0.6201,1,0-5%,1929.354336
0.03894,0,46758,0,320000,0.1461,1,0-5%,1820.7565200000001
0.039023,0,10929,-2,500000,0.0219,1,0-5%,426.482367
0.039087,0,138834,0,260000,0.534,1,0-5%,5426.604558
0.039205,0,54408,0,440000,0.1237,1,0-5%,2133.06564
0.039235,0,7220,0,100000,0.0722,1,0-5%,283.2767
0.039275,0,8193,0,310000,0.0264,1,0-5%,321.78007499999995
0.03928,0,98736,0,180000,0.5485,1,0-5%,3878.35008
0.039454,0,198954,0,410000,0.4853,1,0-5%,7849.531116000001
0.039488,0,100064,0,140000,0.7147,1,0-5%,3951.327232
0.039591,0,13331,-2,500000,0.0267,1,0-5%,527.7876210000001
0.03963,0,4689,-2,400000,0.0117,1,0-5%,185.82506999999998
0.039642,0,6346,-1,390000,0.0163,1,0-5%,251.568132
0.039651,0,62854,0,150000,0.419,1,0-5%,2492.223954
0.039701,0,55758,-1,290000,0.1923,1,0-5%,2213.648358
0.039867,0,140809,-1,290000,0.4855,1,0-5%,5613.632403
0.039991,0,35117,-1,240000,0.1463,1,0-5%,1404.363947
0.040003,0,59373,0,200000,0.2969,1,0-5%,2375.0981189999998
0.040013,0,154386,0,260000,0.5938,1,0-5%,6177.447018
0.040047,0,6757,-2,500000,0.0135,1,0-5%,270.597579
0.040068,0,116861,0,250000,0.4674,1,0-5%,4682.3865479999995
0.040098,0,329570,0,500000,0.6591,1,0-5%,13215.09786
0.040197,0,87313,0,370000,0.236,1,0-5%,3509.720661
0.040219,0,172772,0,310000,0.5573,1,0-5%,6948.717068
0.040235,0,14480,-1,180000,0.0804,1,0-5%,582.6028
0.040242,0,19660,-1,400000,0.0492,1,0-5%,791.15772
0.040302,0,22988,-2,470000,0.0489,1,0-5%,926.462376
0.040315,0,166917,0,330000,0.5058,1,0-5%,6729.258854999999
0.040425,0,12163,0,130000,0.0936,1,0-5%,491.689275
0.04043,0,3042,-2,150000,0.0203,1,0-5%,122.98806
0.040433,0,15220,-2,240000,0.0634,1,0-5%,615.3902599999999
0.040434,0,3826,-1,150000,0.0255,1,0-5%,154.700484
0.040583,0,12865,-1,360000,0.0357,1,0-5%,522.100295
0.040659,0,10000,-1,520000,0.0192,1,0-5%,406.59000000000003
0.04068,0,10000,-1,180000,0.0556,1,0-5%,406.8
0.040725,0,20699,0,170000,0.1218,1,0-5%,842.966775
0.040731,0,13340,-1,210000,0.0635,1,0-5%,543.35154
0.04074,0,12839,-2,380000,0.0338,1,0-5%,523.0608599999999
0.040744,0,13060,-1,120000,0.1088,1,0-5%,532.1166400000001
0.040905,0,58081,0,140000,0.4149,1,0-5%,2375.803305
0.040927,0,48998,0,320000,0.1531,1,0-5%,2005.341146
0.04098,0,3983,-2,390000,0.0102,1,0-5%,163.22334
0.041022,0,31299,0,80000,0.3912,1,0-5%,1283.947578
0.041047,0,14638,-1,480000,0.0305,1,0-5%,600.845986
0.04116,0,146183,0,320000,0.4568,1,0-5%,6016.89228
0.04117,0,84672,0,470000,0.1802,1,0-5%,3485.9462399999998
0.041175,0,113529,0,310000,0.3662,1,0-5%,4674.5565750000005
0.041181,0,74955,0,310000,0.2418,1,0-5%,3086.7218550000002
0.041206,0,17332,0,180000,0.0963,1,0-5%,714.1823919999999
0.041208,0,82831,-1,200000,0.4142,1,0-5%,3413.299848
0.041257,0,116714,0,640000,0.1824,1,0-5%,4815.269498000001
0.041257,1,30625,-1,350000,0.0875,1,0-5%,1263.495625
0.041318,0,95719,0,400000,0.2393,1,0-5%,3954.917642
0.041332,0,10260,0,400000,0.0256,1,0-5%,424.06632
0.041334,0,10836,-1,320000,0.0339,1,0-5%,447.89522400000004
0.041398,0,137122,0,230000,0.5962,1,0-5%,5676.576556
0.041458,0,179547,0,450000,0.399,1,0-5%,7443.659526
0.041525,0,62951,0,300000,0.2098,1,0-5%,2614.040275
0.041549,0,11765,-2,500000,0.0235,1,0-5%,488.82398500000005
0.041565,0,7886,-2,290000,0.0272,1,0-5%,327.78159
0.041574,0,98974,-1,200000,0.4949,1,0-5%,4114.745076
0.041635,0,76910,-2,140000,0.5494,1,0-5%,3202.14785
0.041703,0,71149,0,230000,0.3093,1,0-5%,2967.126747
0.041736,0,33687,-1,280000,0.1203,1,0-5%,1405.960632
0.041739,0,60819,0,390000,0.1559,1,0-5%,2538.524241
0.04174,0,10415,-2,120000,0.0868,1,0-5%,434.7221
0.0418,0,80220,0,150000,0.5348,1,0-5%,3353.196
0.041849,0,20708,0,80000,0.2589,1,0-5%,866.6090919999999
0.041849,0,23234,-1,290000,0.0801,1,0-5%,972.319666
0.041859,0,65958,0,420000,0.157,1,0-5%,2760.935922
0.041927,0,26465,0,250000,0.1059,1,0-5%,1109.598055
0.041985,0,13145,-1,200000,0.0657,1,0-5%,551.892825
0.042011,0,8526,-2,350000,0.0244,1,0-5%,358.185786
0.042047,0,50735,0,440000,0.1153,1,0-5%,2133.2545450000002
0.042052,0,147051,0,300000,0.4902,1,0-5%,6183.788652
0.042116,0,166037,0,280000,0.593,1,0-5%,6992.814292
0.042263,0,48872,0,270000,0.181,1,0-5%,2065.477336
0.042267,0,10190,-1,230000,0.0443,1,0-5%,430.70072999999996
0.042301,0,61089,0,100000,0.6109,1,0-5%,2584.1257889999997
0.042302,0,96910,0,200000,0.4846,1,0-5%,4099.48682
0.042328,0,4617,-1,340000,0.0136,1,0-5%,195.428376
0.04243,0,58281,0,290000,0.201,1,0-5%,2472.86283
0.04243,0,271115,1,500000,0.5422,1,0-5%,11503.409450000001
0.042459,0,89909,0,170000,0.5289,1,0-5%,3817.446231
0.042517,0,17360,-1,500000,0.0347,1,0-5%,738.09512
0.042573,0,68452,0,370000,0.185,1,0-5%,2914.206996
0.042592,0,19107,-1,490000,0.039,1,0-5%,813.805344
0.042594,1,170812,0,470000,0.3634,1,0-5%,7275.566328
0.042594,0,68032,0,360000,0.189,1,0-5%,2897.755008
0.042628,0,14026,0,290000,0.0484,1,0-5%,597.900328
0.042641,0,25184,0,140000,0.1799,1,0-5%,1073.870944
0.042641,0,12696,-2,230000,0.0552,1,0-5%,541.370136
0.042691,0,6518,-2,210000,0.031,1,0-5%,278.259938
0.042693,0,96169,0,360000,0.2671,1,0-5%,4105.743117
0.042696,0,11026,-2,150000,0.0735,1,0-5%,470.766096
0.042761,0,60654,0,270000,0.2246,1,0-5%,2593.625694
0.042779,0,102802,0,150000,0.6853,1,0-5%,4397.766758
0.042889,0,64062,0,230000,0.2785,1,0-5%,2747.5551179999998
0.042993,0,83514,-1,390000,0.2141,1,0-5%,3590.5174020000004
0.043,0,37342,-1,470000,0.0795,1,0-5%,1605.706
0.04306,0,101431,0,200000,0.5072,1,0-5%,4367.6188600000005
0.043062,0,74235,0,210000,0.3535,1,0-5%,3196.70757
0.04308,0,109746,0,290000,0.3784,1,0-5%,4727.85768
0.043109,0,16496,0,260000,0.0634,1,0-5%,711.126064
0.043121,0,70887,0,250000,0.2835,1,0-5%,3056.718327
0.043141,0,112789,0,400000,0.282,1,0-5%,4865.830249
0.0432,0,23427,-1,150000,0.1562,1,0-5%,1012.0464000000001
0.043348,0,37070,0,450000,0.0824,1,0-5%,1606.9103599999999
0.043425,0,113872,0,260000,0.438,1,0-5%,4944.8916
0.04344,0,54914,0,270000,0.2034,1,0-5%,2385.46416
0.043517,0,74418,0,200000,0.3721,1,0-5%,3238.448106
0.043562,0,26557,0,210000,0.1265,1,0-5%,1156.876034
0.043592,0,16995,0,260000,0.0654,1,0-5%,740.84604
0.043717,0,75122,0,320000,0.2348,1,0-5%,3284.108474
0.043722,0,8195,-1,360000,0.0228,1,0-5%,358.30179
0.043769,0,122423,0,260000,0.4709,1,0-5%,5358.332287
0.043779,0,67336,0,430000,0.1566,1,0-5%,2947.902744
0.043834,0,7914,-2,350000,0.0226,1,0-5%,346.902276
0.043885,0,11494,-1,200000,0.0575,1,0-5%,504.41419
0.043914,0,146130,0,280000,0.5219,1,0-5%,6417.15282
0.043922,0,242168,0,300000,0.8072,1,0-5%,10636.502896
0.043941,0,1391,-1,320000,0.0043,1,0-5%,61.121931000000004
0.043954,0,26158,0,300000,0.0872,1,0-5%,1149.748732
0.044036,0,31090,0,210000,0.148,1,0-5%,1369.07924
0.044144,0,30860,0,360000,0.0857,1,0-5%,1362.28384
0.044153,0,58322,0,150000,0.3888,1,0-5%,2575.091266
0.044247,0,10072,-2,360000,0.028,1,0-5%,445.65578400000004
0.044368,0,234957,0,500000,0.4699,1,0-5%,10424.572176
0.044386,0,7967,-1,260000,0.0306,1,0-5%,353.623262
0.044491,0,87604,0,220000,0.3982,1,0-5%,3897.5895640000003
0.044574,0,24434,0,420000,0.0582,1,0-5%,1089.121116
0.044578,0,147440,0,320000,0.4608,1,0-5%,6572.58032
0.044632,0,16007,0,80000,0.2001,1,0-5%,714.4244239999999
0.044638,0,176294,0,400000,0.4407,1,0-5%,7869.411571999999
0.044678,0,120533,0,360000,0.3348,1,0-5%,5385.173374
0.044706,0,59728,0,410000,0.1457,1,0-5%,2670.1999680000004
0.044772,0,2892,-1,300000,0.0096,1,0-5%,129.480624
0.044817,0,8494,-2,450000,0.0189,1,0-5%,380.67559800000004
0.04482,0,111295,0,230000,0.4839,1,0-5%,4988.2419
0.044843,0,11646,0,360000,0.0323,1,0-5%,522.241578
0.04485,0,50695,0,80000,0.6337,1,0-5%,2273.67075
0.044853,0,23216,-1,230000,0.1009,1,0-5%,1041.3072479999998
0.044876,0,98709,0,290000,0.3404,1,0-5%,4429.665084
0.04495,0,0,-2,300000,-0.0041,1,0-5%,0.0
0.045016,0,19518,0,230000,0.0849,1,0-5%,878.622288
0.045113,0,15321,-2,200000,0.0766,1,0-5%,691.176273
0.045187,0,33758,0,500000,0.0675,1,0-5%,1525.422746
0.045193,0,33109,0,230000,0.144,1,0-5%,1496.2950369999999
0.045231,0,31235,0,60000,0.5206,1,0-5%,1412.790285
0.045261,0,16366,0,180000,0.0909,1,0-5%,740.741526
0.045264,0,106600,0,270000,0.3948,1,0-5%,4825.1424
0.045351,0,122825,0,260000,0.4724,1,0-5%,5570.236575
0.045389,0,12181,-1,240000,0.0508,1,0-5%,552.883409
0.045402,0,80928,0,300000,0.2698,1,0-5%,3674.293056
0.045411,0,206461,0,320000,0.6452,1,0-5%,9375.600471
0.045412,0,104457,0,450000,0.2321,1,0-5%,4743.601284
0.045423,0,34592,0,230000,0.1504,1,0-5%,1571.272416
0.045441,0,83756,0,310000,0.2702,1,0-5%,3805.956396
0.045442,0,9658,-1,270000,0.0358,1,0-5%,438.87883600000004
0.045443,0,100740,0,280000,0.3598,1,0-5%,4577.92782
0.045454,0,3580,-1,500000,0.0072,1,0-5%,162.72532
0.045485,1,12842,-1,200000,0.0642,1,0-5%,584.1183699999999
0.045552,0,159633,0,280000,0.5701,1,0-5%,7271.602416000001
0.045566,0,8837,-1,200000,0.0442,1,0-5%,402.666742
0.045611,1,29862,-2,320000,0.0933,1,0-5%,1362.035682
0.045773,0,14254,0,200000,0.0713,1,0-5%,652.448342
0.045836,0,253767,0,500000,0.5075,1,0-5%,11631.664212
0.045839,0,177520,0,460000,0.3859,1,0-5%,8137.339279999999
0.045845,0,98727,0,250000,0.3949,1,0-5%,4526.139314999999
0.045845,0,103159,0,220000,0.4689,1,0-5%,4729.324355
